Grupo,Entidad,,,,,
G1,INIA,,,,,
G1,Centros Extensionismo,,,,,
G1,Chilealimentos,,,,,
G1,16CET2-63919,,,,,
G1,Ecoparra SPA,,,,,
G1,Viñas de Guarilihue,,,,,
G1,CoopVit Cerro Negro Quillón,,,,,
G1,Viña Errázuriz Dominguez,,,,,
G1,UConcepción,,,,,
G1,UCDavis,,,,,
G1,15CET1-38872,,,,,
G1,Gesproinnova,,,,,
G1,FEDEFRUTA,,,,,
G1,15CET1-38864,,,,,
G1,INDUPAN,,,,,
G1,Comité Arrocero Otingue,,,,,
G1,Comité Arroz Millauquen Unido,,,,,
G1,Comité Crucero de Buli,,,,,
G1,Comités Campesinos Arroz,,,,,
G1,Arroceros Unicaven,,,,,
G1,CET-AProcesados,,,,,
G1,FI Agrícola UConce,,,,,
G1,CDT Agroindustrial UConce,,,,,
G1,Frusexta,,,,,
G1,TA-Fruti,,,,,
G1,UCENTRAL,,,,,
G1,Fruséptima,,,,,
G1,APÑuble,,,,,
G1,Hortifrut,,,,,
G1,ASOEX,,,,,
G1,TAccionCultural,,,,,
G1,CRRecolectoresVIII,,,,,
G1,ForestalArauco,,,,,
G1,INCuBA,,,,,
G1,AIMPLAS,,,,,
G1,SUNENERGREEN,,,,,
G2,MINEDUC,,,,,
G2,CONICYT,,,,,
G2,INIA - La Cruz,,,,,
G2,CREAS,,,,,
G2,UV,,,,,
G2,Gob Reg Valparaíso,,,,,
G2,INIA - Raihuén,,,,,
G2,CEAP,,,,,
G2,Sugal,,,,,
G2,UCMAULE,,,,,
G2,Gob Reg Maule,,,,,
G2,L3,,,,,
G2,15CET1-38847,,,,,
G2,Maturana y Ortega,,,,,
G2,UIBC,,,,,
G2,UTFSM,,,,,
G2,ULosAndes,,,,,
G2,Sopraval,,,,,
G2,Nueces del Choapa,,,,,
G2,Fraunhofer Chile,,,,,
G2,Viña Santa Rita,,,,,
G2,Happy Plum,,,,,
G2,UAndrésBello,,,,,
G2,FcuatroF,,,,,
G2,Laboratorio Movil,,,,,
G2,FrutiCentroNorte,,,,,
G2,PUCV,,,,,
G2,Biofrutales,,,,,
G2,Manki,,,,,
G2,Milanese,,,,,
G2,ChacabucoInv,,,,,
G2,RanchoAzul,,,,,
G2,SouthHemp,,,,,
G2,Leitat Chile,,,,,
G3,FIA,,,,,
G3,PolosTerritoriales,,,,,
G3,CORFO,,,,,
G3,PIA+S,,,,,
G3,GDC,,,,,
G3,Apoyo Proyectos Inversion Tecnológica,,,,,
G3,Consorcio Lechero,,,,,
G3,SAG,,,,,
G3,Bienes Públicos,,,,,
G3,MINECON,,,,,
G3,Apoyo Proyectos Estratégicos,,,,,
G3,Tres Columnas,,,,,
G3,CHILEOLIVA,,,,,
G3,ODEPA,,,,,
G3,ASPROCER,,,,,
G3,ACHIPIA,,,,,
G3,COPEVAL,,,,,
G3,Beitia y García,,,,,
G3,TA,,,,,
G3,Nodo,,,,,
G3,Fundación Chile,,,,,
G3,INIA - Quilamapu,,,,,
G3,CIREN,,,,,
G3,MINAGRI,,,,,
G3,SEREMI MINAGRI BIOBIO,,,,,
G3,TA-CE,,,,,
G3,PROCHILE,,,,,
G3,INVESTCHILE,,,,,
G3,eCERT,,,,,
G3,TA-VIP,,,,,
G4,UCHILE,,,,,
G4,FAVET-UCHILE,,,,,
G4,ContaQuim,,,,,
G4,ContaQuim-CTS,,,,,
G4,RedApicola,,,,,
G4,ANVET,,,,,
G4,AFIPA,,,,,
G4,PEROHiggins,,,,,
G4,CET Hortícola UChile,,,,,
G4,UNAF,,,,,
G4,INDAP,,,,,
G4,EstándarAF-CTS,,,,,
G4,ALIMSA,,,,,
G4,PERMaule,,,,,
G4,CAPCHICAL,,,,,
G4,SOCHITAL,,,,,
G4,SERCOTEC,,,,,
G4,Subsecretaría Economía,,,,,
G4,EstándarNC-CTS,,,,,
G4,APROLECHE,,,,,
G4,ANIC,,,,,
G4,PERLosRíos,,,,,
G4,CE Rosario,,,,,
G4,CPL,,,,,
G4,EstándarNC,,,,,
G4,INTA,,,,,
G4,ECOTERRA,,,,,
G4,AGRICOVIAL,,,,,
G4,AChoapa,,,,,
G4,F Min Los Pelambres,,,,,
G5,EstándarAF,,,,,
G5,CETA,,,,,
G5,UTALCA,,,,,
G5,DICTUC,,,,,
G5,PUC,,,,,
G5,AB Chile,,,,,
G5,Härting,,,,,
G5,GCT,,,,,
G5,Centros Tecnológicos,,,,,
G5,Programas Tecnológicos,,,,,
G5,CO-INVENTA,,,,,
G5,CleanEnergy,,,,,
G5,Achoapa,,,,,
G5,IslaNatura,,,,,
G5,Samfood,,,,,
G5,AG Industriales Plástico,,,,,
G5,UTMetropolitana,,,,,
G5,FrutiCentroSur,,,,,
G5,CTIHortofrutícola,,,,,
G5,FDF,,,,,
G5,Solutec,,,,,
G5,Dueik,,,,,
G6,CCF,,,,,
G6,SUBPESCA,,,,,
G6,TA-Process,,,,,
G6,Subdirección Innovación UCHILE,,,,,
G6,Granotec,,,,,
G6,Nutrapharm,,,,,
G6,Contexto Ciudadano,,,,,
G6,Carozzi,,,,,
G6,SONAPESCA,,,,,
G6,IFAN,,,,,
G6,Prinal,,,,,
G6,PF,,,,,
G6,Quillayes,,,,,
G6,UMagallanes,,,,,
G6,ChileBotanics,,,,,
G6,PigmentosNaturales,,,,,
G6,Watts,,,,,
G6,Gelymar,,,,,
G7,I+D Empresarial,,,,,
G7,L2,,,,,
G7,L1,,,,,
G7,Team Foods,,,,,
G7,SPS,,,,,
G7,Lacteos Los Puquios,,,,,
G7,Quimas,,,,,
G7,Surfrut,,,,,
G7,CASOL,,,,,
G7,AcuaFood,,,,,
G7,José Antonio Galilea Vidaurre,,,,,
G7,Jaime Taladriz Canseco,,,,,
G7,CT Agrícola Lda,,,,,
G7,Luisa Maria,,,,,
